트위터,날짜
빡쳐서 피드백 뜰 때까지 당분간 접속 안 하겠습니다 다들 선동에 휘둘리지 마시고 스밍 유지시켜 주세요 지금 우리의 불매운동은 오히려 빅히트가 원하는 방향일 수 있습니다 제발 불매를 하려면 해당 곡이 포함 될 예정인 일본 앨범만 부탁드립니다 아티스트에게 피해가 가는 걸 원하지 않아요,2018-09-14
지금 빅히트에게 피해를 주기위해서 어쩔 수 없다고 생각합니다 일본앨범 불매운동? 일본 내 팬덤의 불매운동 확답없이는 불확실하고요 빅히트 언팔? 피해가 갑니까? 불매운동 주장하는 분들도 아미에요 방탄이 피해받는 거 싫고 힘들고 안타깝습니다 근데 우익소년단 꼬리표 붙는게 더 싫단말입니다,2018-09-14
안녕하세요 초멘입니다 일본앨범 불매에 관해서는 솔직히 한국보다 일본 내에서 불매운동이 일어나야 하는데 현재 일본 내의 반응이 어떤지도 모르고 일본팬덤의 일본앨범 불매에 대한 확답이 없으면 아무리 저희가 불매한다고 해도 영향력이 없어요... 빅히트 공식계정 불매는 당연하구요...,2018-09-14
일본 앨범이 발매되지 않는것이 불매운동을 하는 사람들의 목표이기 때문에 일본 앨범을 불매하는 것은 모순된다는 점을 알아주시면 감사하겠습니다,2018-09-14
스밍 안돌리고 한국 앨범 불매운동하는거 정말 제정신인가? 그런다고 빅히트에서 눈하나 깜짝할거 같나? 오히려 순수익은 다른곳에서 창출되는데 일본콘서트 횟수 더 늘려서 뺑뺑이 돌리겠지.. 오히려 커리어에 치명타를 입는건 방탄인데 그걸 왜 모르고 저러는지.. 일본 싱글만 불매운동하면 될 걸..,2018-09-14
@hitmanb @BigHitEnt 제발 제발 올바른 선택을 해주시길 바랍니다. 개인적인 입장으로서는 일본활동 포기 할만큼의 가치가 있다고 생각하지만 그렇게 쉽지 않다는 거 압니다. 부디 현명한 선택을 하시기 바라며 빠른 피드백을 바랍니다. 만약 그대로 진행된다면 불매운동 할 생각입니다,2018-09-14
"긍ㄴ데,,,...진짜미안한데...,, 불매운동하는건 아닌거같애요,.,. 이번 일본앨범만 불매해...., 다른건 건들디마..!!..!!",2018-09-14
불매운동 생각 잘해서 하세요. 난 피드백받으려면 적어도 3일은 지나야 되고 일주일까지 예상중인데 지금 뭐하는거야ㅋㅋ일본앨범을 불매운동해야지 상관없는 애들기록 내려서 뭐 어디쓰게?제발 쓸모있는 행동을 하세요 좀. 어디서 본것만 있어가지고,2018-09-14
우리는 일본아미분들 에게 불매운동을 강요 한적 없습니다 서로 같은 아티스트를 사랑하는 팬으로써 서로의 감정싸움으로 번질까봐 힘듭니다 @BigHitEnt @hitmanb 제발 빠른 피드백 부탁드립니다,2018-09-14
스밍 그만두면 안돼요 애들이 잘못한게 아닌데 왜 애들한테 피해가게 해요 시상식 남았잖아요 애들 상받게 해줘야죠 불매운동하자는건 일본앨범이죠 지금 스밍 놓으면 안돼요,2018-09-14
헐 저도요 불매운동한다고 일본예판앨범 안사는건 저도 동의하는데 스밍은 좀 아닌것같아요..,2018-09-14
지금 극우성향의 일본 작곡가와 협업하고 싶다는 방시혁때문에 팬들의 의견이 반으로 갈렸음. 공통적으로 안된다는 의견은 같지만 불매운동한다는 반응과 그 걸 보면서 방탄소년단이 협업하고 싶다고 한것도 아닌데 왜 방탄소년단을 힘들게 하느냐 책임을 물을 것이면 빅히트 회사로 해야한다는 의견 pic.twitter.com/eZ35gTLTef,2018-09-14
그러니까 지금 모든 컨텐츠 불매하면서 강경하게 나가는거 아닙니까 기업같은 경우는 불매운동들어가면 소송까지 간다는데 빅히트가 손놓고있을것같진 않네요 지금 당장 성적 신경쓰는거보다 뭐라도 해보고 일본곡 막아보려고해야지 그냥 손놓고있으면 고대로 애들한테 우익딱지 붙여주는거에요,2018-09-14
여러분 빅히트가 계속 이대로 밀고 나간다면 이번 일본앨범 확실하게 불매운동해요 눈막귀막하고있는 지금 이 시점에서 빅히트가 제일 무서워하는건 팬의 빡침? 피드백요구? 이미지하락? 그 무엇도 아닙니다 바로 돈이에요 빅히트가 모두를 돈으로 보고 있다면 우리는 그에 상응하게 맞서야 합니다,2018-09-14
"본보야지 결제 안 하고, 피드백 나오기 전까지 안 보겠습니다. 스트리밍 및 투표 역시 중단합니다. 기한은 우익여혐작사가 철회 및 관련 작업물, 자료 폐기될때까지. @BigHitEnt @hitmanb @bts_bighit 돈에 환장해있으니 불매가 젤 말이 잘통하겠죠. 님이 좋아하는 일본에서 잘쓰는 방법이야 불매운동 pic.twitter.com/0Z29vh48P3",2018-09-13
"이렇게해서까지 강경대응하자는 쪽도 있고, 일본 앨범에 대한 불매운동만 하자는 쪽도 있고,,, 복잡하네요ㅠㅠㅠㅠㅠ",2018-09-13
어디에 ‘여성혐오’’소아성애’라는 말이 있나요? 일본에서도 단연히 ‘여성혐오’’소아성애’는 문제가 되겠죠 그런데 일본사람은 그렇게 하나로 되어 소리내는 국민성이 아닙니다 피드백요구도 불매운동도 마음대로 하세요 상관없는 일본욕을 공식한테 던지지마세요 pic.twitter.com/Fw1cIIfvMv,2018-09-13
방탄 그룹색이랑 안맞아서가 아니라 우익에 여혐이라서 반대한다니 황당하다 진짜 우익인지 어떤지 작품에 정치성향을 드러냈는지 모르겠지만 프듀48 때 트집잡아서 불매운동했던걸 생각해보면 뻔하다 그럼 지금까지 일본곡 작사한 사람들은 다 좌익에 페미니스트였나,2018-09-13
제주변 일본 아미들 싱글불매운동에 엄청 도움주는데 진짜 안타까운 현실이네요 ㅜㅜ,2018-09-13
불매 운동 그거는 이번 일본앨범만 해당되는거 아닌가?? 딴거는 왜 불매운동해??,2018-09-13
일본 신보.. 불매운동 밖에 답이 없는거 같다. 미안해. 지키는 방법이 이것이라 미안해. @BTS_twt @BigHitEnt @hitmanb,2018-09-13
일 진행하는거 빅히튼지 일본소속산지 아님 합작인지 모르겠는데 어느쪽이든 제정신으로 하는 일은 아니네.. 하다하다 팬들이 불매운동을 하게 만드는 대단한 머저리들,2018-09-13
일본 예판 산사람은 뭐다? 블락이다~ 불매운동이 과하다는사람도 같이 블락,2018-09-13
솔직히 한국아미들이나 외국아미들이 불매운동을 하는 거보다 직접 연관된 일본아미분들이 불매운동을 하는게 더 효과적이에요,2018-09-13
불매운동 일본에서 해주면 안되요?? 구매한거 다 취소 하면 되잖아요 진짜 그러지 않고선 안막을거 같은데? 단 1장도 안팔리면 봐줄꺼야???,2018-09-13
일본싱글 타이틀곡 철회 안하면 불매운동뿐만 아니라 내 아티스트 보허차원에서 빅히트와의 재계약 반대 하겠습니다. 당신들이 우습게 보일지라도 난 내 이티스트가 우익 친일 붙는거 싫습니다 @BigHitEnt @hitmanb,2018-09-13
@BigHitEnt @hitmanb 지금 팬 떨어져나가는 소리 안들리세요? 니 미친 짓때문에 국제적으로 이미지 망치게 생겼어요. 지금 한국팬 일본팬들 앨범 불매운동 퍼지고 있으니까 당장 철회하세요 눈귀막하면 끝은 파멸이예요 올바른 결정 부탁드립니다 제발 빌께요,2018-09-13
왠만하면 일본프로모션 하는거 좋게 보려고 노력하는 편이었지만 이번만은 도저히 안되겠다 거기서 뭐 잘해준거 있다고 협업을 맺어도 그지같은 새끼랑 해서 이 사단을 만들어??? 그리고 예판?? 지금 불매운동해도 모자랄 지경인데 예판같은 소리하고 자빠졌네!,2018-09-13
협업 취소하고 전량 폐기라는 피드백 아니면 일본 음반 불매운동 하고 보이콧 했으면,2018-09-13
이정도 되면 일본 아미들이 이번 앨범 불매운동이라도 나서 주지 않으면 엎어지기는 어려울듯.. 소비자들이 사지 않겠다고 해야 아마 명분이생겨서 철회가 되지 않을까 싶다.한국에서 백날 해시태그 날리고 떠들어 봤자 일본에서 앨범이 팔린다면 신경도 쓰지 않을듯....,2018-09-13
근데 불매운동을 해도 일본에선 잘 팔릴게 뻔하게 보여서 할말이 없음,2018-09-13
저는 그대로 나오면 그 노래 불매운동 할거고 피드백 요구 계속 할겁니다 같은 일본팬들이 어떤 생각하고 있을지 모르겠지만 아티스트는 한국인이고 국적이 한국이에요,2018-09-13
진짜 멍청도 유분수지 ㅋㅋㅋㅋ 취소하면 일본 활동 이제 버려야한다고 보면 되고 ㅋㅋㅋㅋ 취소 안하면 시발 이건 팬들마저 불매운동 해야할 수준,2018-09-13
@BigHitEnt 일본 우익 작사가와의 협업을 철회해주세요. 한국에서 우!익! 이 어떤 의미인지 잘 모르십니까? 회사의 잘못으로 가수 이미지에 흠집내지마세요. 내가 우익에 ㅇ만 들어가도 그 회사 제품을 불매운동하는데.. 내가수한테 ㅇㅇ이 붙을줄이야ㅠㅠㅠㅠ,2018-09-13
우익앨범 발매하면 일본 아미들이랑 불매운동이라도 하길 바라는 거니? @BigHitEnt 야? @BTS_twt 애들은 생각이 없는 것 같애? 바쁜애들 조져서 했겠지... 서울대 댕겼으면 역사 배웠잖아. 돈되면 다 하는 건 친일파라고.. 변희재야?뭐야? 미학과 왜 다그모양이야..,2018-09-13
@hitmanb 우익 감독과 문화적 교류하시면 한국팬들은 저 노래 소비 못하죠. 어차피 일본노래라 상관 없나요;? 프듀사십팔이 왜 불매운동이 있었는데 자랑이라고 보도자료를 내셨네요. 이러면 회사 못믿고 좋아하는 아티스트 소비 못하죠. 회사 대표가 우익이란 소리 듣게 생겼는데요,2018-09-13
"텐진과 동북사변은 별 상관이 없는 지역입니다. 노구교 등 각종 사건일에 중일전 많이 있었어요. 동북조차도 범중국적 일제불매운동때 큰 소요가 적었는데, 관련도 없는 동네에서 중일전으로 난리나려면 이미 일제차나 일본 프렌차이즈 불타고 있어야 할듯한데요...",2018-09-04
빠가사리샛기.. 삼성과 싸우면 무조건 정의?? 나는 삼성불매운동하는데 국민영웅 임?? 민비가 일본샛기들한테 시해당했다고 국모냐? 자신이 하는 짓에 책임을 못지면 그것만으로도 개차반이라고 하는거란다. 그게 공정한거고 그게 원칙이라는거야.,2018-09-03
"좀 현타오지 않으시나요? 드림라이브 재방송은 불법이며 현재 방송되고 있는 사이트는 불법사이트라고 일본에서도 자자한 사이트며, 가극으로 불매운동하고 해시총공했던 그 드림라이브를 또 보겠다고 실트 올려둔 모습이 현타오지 않나요...? 전 지금 드림라이브 안 봤는데도 이 상황에 현타오는데",2018-08-31
"새누리당이 장악한 부산 ‘토건족’의 실체 돈과 여자로 정,관계 접대, 500억 비자금 조성 ‘이영복’은 누구? 일본 요청에 ‘소녀상 강탈-야적장 방치’ 박삼석 구청장 ‘재산세 80원’ 낸 나쁜 롯데, 시민들 불매운동 1조 5천억 벌고 법인세 0원, 맥쿼리 실소유주는? https://twitter.com/impeter701/status/1034953689079803905 …",2018-08-30
"중국 맥도날드-스타벅스 매출 급락, 불매운동 시작됐나.. | 다음뉴스 https://news.v.daum.net/v/20180827104704488?rcmd=rn&f=m … 우리와일본은 진작에 당했다.진짜 문제는 공산당과중국정부가 계속 배후에서 조정한다는것",2018-08-27
"""6백 개 매장 문 닫게 하자""..中, 커피 한 잔에 불매운동 | 다음뉴스 https://news.v.daum.net/v/20180817210908954?rcmd=rn&f=m … 일본계 중국기업인 롯데도 당했지 빗나간 애국심 지랄맞은 떼국의 중국인에 특성때문에 세계어느나라기업이든 당한다",2018-08-17
#プリリズ女の子キャラ性商品化するな #プリリズ戰爭美化修正しろ 불매운동 정말 필요하다구 생각해여 프리즘시리즈가 솔찍 일본에서는 마이너쪽이라서... 한국에서 버는 수입이 꽤 될거라구 생각해여... 아무래도 수입이 안나오면 저렇게 못버틸거같아요...,2018-08-10
일본에는 불매운동(안사는것만 말고 해시태그나 뉴스 등등으로 확산된 형태의)이 보편적으로 안되어잇는거 같은데 암만 그래도 ㅋ ㅋ ㅠ,2018-08-09
부산 해운대에 스타벅스가 오픈 한다고 한다. 그렇다면 최 가들이 개입하고 있을 것이다. 최유진 일본남자와 결혼. 스타벅스에서 알바하면서 여러가지를 배운다고 했다. 불매운동 해 주세요.,2018-08-08
일본기업 다이소는 불매운동 해야한다 다이소가 싼 물건을 팔기때문에 주변에 마트는 최저가격 경쟁에 밀려 다 죽는다 결국 가게가 다 죽은후에는 울국민 다이소 가야하는 마켓팅 전술에 넘어가는거다,2018-07-31
"모플텍계 : 또 그러고보니, 매사에 100%로 피씨함이 없으면 상종도 안하는 양반들이 일본은 잘만 놀러가데. 그네들 기준에 비춰보면 불매운동 대상 1순위가 일본 아닌가.",2018-07-28
"빻았으니 불매운동 하겠다는 글도 여럿 보이던데 소비자층 그래프 보면 그다지 효과 없을거 같고, 거기에 더해 신데마스와 밀리마스는 해외 IP 차단을 안 했을 뿐이지, 국내에 사실상 정발을 안한 ""일본 내수용"" 게임인데, ""해외 여성"" 소비자층이 영향력이 과연 있을까? 반남에서 콧방귀나 끼지 pic.twitter.com/0QemrtcIh0",2018-07-24
왜 트위터사람들 파판14 불매안하는건지 모르겠음 전범미화 여혐 기타등등빻음이 정교하게 짜인 일본게임인데 지금껏 불매운동 해시 나돈적 있었나 이번엔 진짜 해야되지않아?? 몰카도촬이 이벤트로 나왓는데??? 남우라 허리가 새끈한건 알겠는데 그런다고 빻겜에 돈주기싫어 이제진짜안할거야,2018-07-23
2018년 평창 겨울올림픽 개막식에서 일본의 식민 지배를 옹호하는 망언을 한 미국 NBC 해설자 조슈아 쿠퍼 라모가 스타벅스 이사인 것으로 밝혀지면서 불매운동으로 확산되는 분위기다 냄비라고 해도 어쩔수 없나봅니다,2018-07-19
중앙일보 기사가 맞네요~ 일본 쪽발놈들 기사인줄 알았는데~ 중앙일보 사장이나 편집국장이 악질 친일파 매국노집단 이거나 일본 쪽발이놈 후손들 아닐까요??? 더운데 열 받네요~ 가래침 나오네요~ 퇴~퇴~퇴~~~ 중앙일보 불매운동에 동참~ 동의합니다~ https://twitter.com/s17221/status/1018387258401910785 …,2018-07-15
벼락 벼락 벼락 아직도 안맞은겨 2MB 전기의자 라도 앉고 싶은겨 일본산 불매운동 이라도 해야하느겨 에혀~,2018-07-12
민족주의적 피해자의식 충만한 역사교육이란 점에선 한국도 일본이랑 크게 차이는 없는데 뭔차이가 잇냐면 일본른 실제 전범국이었고 한국은 그래도 진짜 피해국이었단 점임 물론 그게 모든 문제의 해결은 아니고… 내가 전에 존나 화냈던거도 다들 불매운동하는데 과금인증하는게 찬물뿌리는,2018-07-10
우리나라 잘 되는 꼴을 못 보는 건지 아베 패싱한다고 고춧가루 뿌리는 건지 아무튼 평생 일본 제품 안 사고 안 먹기 불매운동 해야겠다. 일본 정부가 북핵 관련 의혹시설에 대한 강제사찰제도 도입이 필요하다 보고 미국 측과 사전조율에 들어갔다고 마이니치신문이 보도했다http://v.media.daum.net/v/20180710120323845 …,2018-07-10
홍대도 그렇고 강남도 그렇고 어딜가든 일본간판 일본음식점 수두룩 빽빽한거보면 가슴이 답답하다 중국만해도 일본 먹금 잘되고 일본 불매운동 잘되는데 우리나라는 일본땜에 그렇게 철저히 짓밟혓는데 역사와 문화는 다르다면서 문화 ㅈㄴ소비함 ;; 이게 다 친일파 숙청을안해서그래ㅅㅂ 나도반성함,2018-07-08
헐... 누가보면 하이트가 일본 건줄 알겠네요. 친일반역 하이트 회사 진로! 불매운동해야!!!,2018-07-07
한국 여자유저들 한국인답게성능에미친사람들많아서 굳이 남캐 최애픽업아녀도 좋다는 캐들은 돌려보는 과금러들 많았음...나또한...ㅋㅋㅋㅋ내주위그런사람들 다빠졌지뭐 ㅋㅋ 불매운동비웃는새끼들은 상대할가치를 못느낀다 응 니네 일애만가지고 잘빨아라 우익조심하고~~일본장르라 어캐될지몰러~,2018-06-30
스타벅스 조슈아 머시기 이사가 평창올림픽 개막식 NBC 에서 중계하면서 한국사람들 일본한테 식민지배 감사하게 생각한다고 망언해서 불매운동 벌였던 것이 불과 4개월 전이다. 이 사람들아~~~ http://m.news.naver.com/read.nhn?mode=LSD&sid1=001&oid=015&aid=0003970071 …pic.twitter.com/kv47UvSJ2Y,2018-06-28
"월드컵 이후 이케아 불매운동, 왜 우리는 즐기지 못할까 http://v.media.daum.net/v/20180625150006561 …축구경기 하나에 이지랄 하면서 일본은 잘만 놀러 다니지 하 진심 병신들 같다 진짜 화내야 할것에 분노하지 못하면서... 창피 한줄 알아라",2018-06-25
한국팬덤과 일본팬덤의 가장큰 차이 : 일본팬덤 “어 뭐야 왜 저렇게바꿧어 뭐하는거야 의도가 있기는 한가 이번건 사지말자 맘에들면 사주던가하자” 가 보편정서 . 한국 “ 맘에안든다 불매운동이랑 회사에 탄원가자 전쟁이다” ... 둘다 일장일단이지만 사업하는입장에선 좀 사고 욕해줘...,2018-06-17
"""미국산 제품 사지말자"" 캐나다인들, 불매운동 확산 | 다음뉴스 http://v.media.daum.net/v/20180615184700620?f=m … 우리나라도 왜놈들(일본,중국,미국) 물건 사지말자. 특히 일본여행좀 가지말자. 방사능 국가 가서 좋을거 하나없다. 우리나라에 반성과 사죄를 제대로 하지도 않는다.",2018-06-15
일본 기린맥주에서 #로힝야 인종학살 및 미얀마 소수민족들을 잔인하게 탄압하는 미얀마군에게 기부를 했다고....인종학살 더 잘하라고?? 불매운동각이 딱 나온다.... 근데 아웅산수치랑 수다떨던 김현종이는 어떻게 불매하나 ㅠㅠ https://twitter.com/CoconutsYangon/status/1007514559106519040 …,2018-06-15
"킹갓째인생 출판 정지는 일본의 경우 작가의 막말에 대한 책임차원이 아니라 출판사 이미지 깎여서 중국 시장에서 불매운동이라도 일어날까, 자사 다른 제품 장사는 계속 하려고 하는거고... 한국의 출판정지는 일본에서 출판 정지해도 괜찮다고 했으니까 하는거겠지. 사건초기 소미출판사 반응 보면;",2018-06-12
이야너무하다불매운동같은해시는 #f_g_o_謝罪要求 안올려주는거냐졸렬한일본,2018-06-07
우리 워너블들이 진심 불매운동하고 보이콧해야 애들 챙기실건가요? 그리고 해외 팬들 자주 방문하는곳이 서울 말고 지방 도시들도 다닌다는데 언제 하실건가요? 미국 투어 집어치우고 케이콘 뉴욕만 하고 한국 와서 푹쉬게 한뒤에 중국 가든 일본 가던지 호주 가던지 하세요! 음반값 겁나게 오지네~!!,2018-06-07
일본축협의 스폰서 중독 + 일본판 파벌 축구 이거 없애는방법 1. J리그 전경기 무관중 2. 국대경기 보러가지않는다 3. 스폰서 불매운동,2018-05-31
조선이 있는 한 대한민국의 앞날은 막막 할 따름입니다 일본놈들의 앞잡이 오직 국민들의 힘으로 침몰 시켜야 합니다. 국민계몽 운동으로 1. 조선 안보기 조선보는 놈은 제뻘들 2. 조선에 광고 안주기 조선에 광고주는 기업 불매운동으로~ 국민들의 단결된 힘”만이 조선을~~,2018-05-24
조선이 있는 한 대한민국의 앞날은 막막 할 따름입니다 일본놈들의 앞잡이 오직 국민들의 힘으로 침몰 시켜야 합니다. 국민계몽 운동으로 1. 조선 안보기 조선보는 놈은 제뻘들 2. 조선에 광고 안주기 조선에 광고주는 5기업 불매운동을 대처,2018-05-24
"감사합니다!! 우리 일본 팬들은 이게 상업적인거라고 생각하지 않습니다. 이 공연을 소중하게 여기고, 오래 기억하기 위해서 판매되는 겁니다. 불매운동으로 샤이니가 열심히 해온 일본 활동의 앞길을 방해하지 말아주세요. 멤버들, 스탭분들이 어떤 마음으로 진행해준 공연인데...",2018-05-18
한국팬들 보단 주구매층인 일본팬들이 불매 해줘야 되는데 일본팬들이 과연 불매운동에 동참할지는 의문임 사고방식이 우리랑 다른것 같더라고,2018-05-18
"유니클로, 헬로키티 등 극우일본기업을 불매운동을 하면 뭐 하나! 적은 이미 내부에 있었는데.....내 방에 있는 삼성티비가 빨리 고장 나기를 바랍니다.",2018-04-24
진짜 불매운동이라도 해야 차별을 안하려나.. 일본팬들 저렇게 활개를 치는데.. ??? 존나 자국팬인데 어떻게 자국팬이 옆나라 팬들보다 못해??,2018-04-23
"""한국식 인사 모욕적"" 일본 맥도날드 광고에 불매운동 http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&oid=052&aid=0000816524&sid1=001 …",2018-04-11
일본 내수용게임도 불매운동하자너~,2018-04-09
"오사카 '혐한' 분위기 여전..20대 한국 남성, 일본인 흉기에 피습 | 다음뉴스 http://v.media.daum.net/v/20180401084156149 …일본관광 불매운동을 전개해야되지 않나 싶네요",2018-04-09
"불만폭주 오늘의 포스트이케아 일본해 표기 논란으로 불매운동, 이에 대한 일본 야후뉴스와 네티즌들의 반응 http://ystory.net/254",2018-04-04
레드벨벳이 일본에가서 공연한다고요? 에스엠이 신친일파입니까? 레드벨벳 공연은 보지맙시다. 에스엠의 모든공연 티켓불매운동합시다.,2018-03-30
루리웹은 그간 해오던 대로 하려면 불매운동에 일본 본사에 해당 직원 자르라고 항의도 해야지! ‘ㅁ’,2018-03-29
사실도 왜곡해서 여론을 만든다고 테레사수녀의 모순을 지적한 말에 반박하던 지인. 일본화장품만 쓰면서 어쩌다 먹는 일본맥주불매운동 참여하는 것 웃겼다. 원래 내로남불과이긴 한데 그런거 볼때마다 웃겨.,2018-03-27
농협마트 불매운동 시작점이 아닌가 싶다. 정신 똑바른 국민은 일본산 안 사면 된다.,2018-03-20
한국상품 일본에서 보기힘들다. 반대로 한국에서 일본상품 마트마다 진열장에 진열돼 있다. 술 자동차도 마찬가지이다. 일본상품 불매운동하라!,2018-03-15
[사회] 스타벅스 불매운동 시작한 재외교포사회 +서명참여링크 (NBC 조슈아라모 일본근대화 망말) http://blessingyear.tistory.com/698,2018-03-12
거 빻았으면 알아서 불매운동 하십쇼 아나 진짜 보다보다빡쳐서 블락했네 한국장르 옮겨갔다고 일본장르 제국주의 미화 어쩌고 하면서 일본장르 후려치는 내용 알티하고 그러면 기분이좋은가?,2018-03-12
[ #Tistory ] [사회] 스타벅스 불매운동 시작한 재외교포사회 +서명참여링크 (NBC 조슈아라모 일본근대화 망말) http://blessingyear.tistory.com/698,2018-03-12
"마쓰다 국내 진출설, 다시 한 번 '솔솔' | 다음뉴스 http://v.auto.daum.net/v/20180309072503571?f=m … 일본제품 불매운동을 합시다~ 「아베 일본의 위안부 및 독도 문제에 대해 사과」하지 않는 한 일본 전 제품에 대해 불매운동 및 사채 대부업체 퇴출 합시다.",2018-03-09
". 맞습니다! 조중동 삼성 롯데 불매만 외칠게 아니라 일본 관광?일제제품 모두 불매합시다! 말로만 ""친일청산"" 외치지말고 왜놈들이 반성하고 잘못했다 할 때까지 불매운동 계속 합시다! . pic.twitter.com/KeHywUnFz7",2018-03-08
"""한국식 인사 불쾌해"" 日, 맥도날드 광고에 불매운동 / YTN https://youtu.be/g8aWdFFpr1U - 일본은 인사가 한국사람들과 같다는 이유로 맥날을불매한답니다. 이런데도 일본으로여행을가시겠습니까?!",2018-03-08
그리구 스벅은 제발 불매해 주세요 물론 슈크림라떼 잃기 힘든 건 알지만 저도 슈크림 사랑하는데 한국인이잖아요 ‘일본식민지배 망언’ NBC 해설자 뒤늦게 사과… “그래도 스타벅스 불매운동” http://www.newscj.com/news/articleView.html?idxno=493281 …,2018-03-08
스타벅스 불매 왜 안 하시는지? ‘일본식민지배 망언’ NBC 해설자 뒤늦게 사과… “그래도 스타벅스 불매운동” http://www.newscj.com/news/articleView.html?idxno=493281 …,2018-03-08
"클렌징오일, 기름종이로 알려진 DHC화장품은 인종차별, 혐한을 부추기는 일본기업. 요시다 요시아키 회장은 자기네 회사 홈피에서 ""일본은 재일한국인에 의해 지배되고 있다, 한국인은 일본에서 꺼져라""고 음모론 섞인 혐오발언, 혐한발언을 피력. 우리소비자는 불매운동으로 맞써야 되지 않을까요? pic.twitter.com/6GL7PhxcJU",2018-03-08
일본산 자발적 불매운동중..,2018-03-06
저렇다니까 레퍼런스도 없이 그냥 뭐뭐한적 있음 우익임 해놓고 민족주의 감성 이용해서 불매운동 하는게 딱 일본넷우익 혐한들이랑 하는짓 거울처럼 똑같애ㅋㅋㅋㅋㅋ도덕적으로 더 낫다고 생각해?,2018-03-04
"좋음 취지의 불매운동에는 참여하고 싶으나, 정보가 많이 다르네요. Rt나 마음수가 점점 올라가고 있는데, 계속 놔두면 안될꺼 같다는 생각이 듭니다만.. 그리고 일본 다이소와 한국 다이소는 별개입니다. (일본)다이소 (한국다이소는 별개) 라고 작성해야 합니다.",2018-03-04
사실 확인 된 내용인가요? 재직중인 회사가 들어가있는데 저희 회사 다케시마로 바꾸기 운동 참여한적도 없고 후원금도 낸 적없습니다. 지금 애먼 회사 이름 적어두고 무조건 불매운동 하자는건데 어이가 없네요. 일본 투자기업이라고 지금 이름 적어둔것 같은데 제대로 알아보시고 올리던지 해주세요,2018-03-04
홍대상인들??? 매국상인 일본가서장사하지 불매운동합시다 상권 아작내줍시다,2018-03-02
"#iHeartAwards #BestFanArmy #BTSARMY @BTS_twt HIXTAPE TOMORROW 껄끄러운 얘길하면, 방탄이 롯데면세점 모델이어서 애매하다는 것이다. 롯데 불매운동을 하고 있기때문에. 좀 예민하지만 우익 지원을 하고 있는 일본 기업에 대해 알러지가 있다. 내 일본어 시작은, 디아스포라 역사때문이었다.",2018-03-01
"일본 관광객은 무섭고 한국 국민은 안무서운가보네~ 한국 국민의 불매운동으로 홍대와 홍대거리를 쪽바리 학교, 쪽바리 거리로 낙인 찍히면 살아날수 있을까? ㅉㅉㅉ",2018-03-01
삼일절이니까 그럼 일본행 비행기 띄우는 항공사에 항의전화나 넣던가. 진짜 말도 안되는 생떼들. 아에 불매운동이라도 하렴.....지겹다진짜.,2018-02-28
여자는 애국심 가질 필요 없다고 생각함 근데 많은 여성독립운동가분들이 지켜내려고 한 나라이고 특히 일본은 우리나라 여성들을 끔찍한 성착취로 인권유린했으니 cu불매운동에 찬성함,2018-02-24
"미국제품 불매하자. 보자보자하니.. 일본제품, 미국제품 특히 불매운동 해야함. 정신을 못차리네. 아베, 트럼프 김정은 욕할거없다.",2018-02-22
이런 내용의 소설이 일본에서 나왔다고 해도 억장이 무너지는 일인데 피해국가에서 나온다는게 말이 되는 소리인지? 그 시기와 아무 상관 없는 미국 아나운서가 한국 일본 운운해서 스벅불매운동 일어나고 결국 잘리는 거 못 봤음? 이건 작가 사상이 그러니 판중이면 충분하다 그런 문제가 아님,2018-02-22
우리나라 기업은 아니지만 불쌍하게 사드 때문에 중국에서 불매운동당하고 전정권에 똑같이 삥뜯겼다하고도 일등 기업이 아니라 회장 감옥간 기업 이유로라도 사드 가져가라 으름장 한번 놔봐라. 더이상 질질 끌려가지마라. 설마 대량살상무기 핑계로 침공하겠나. 설마 다시 일본의 침략 묵인하겠나...,2018-02-22
"4320만원부터 시작하는 파사트 GT, 누구와 경쟁할까? | 다음뉴스 http://v.auto.daum.net/v/oMvS1XA4MD 일본인들은 대한민국 산 자동차 구매를 꺼리는데... 왜 대한민국 국민들은 일본 산 차를 선호할까. 참 아이러니 하죠. 어떻게 보면 일본의 만행을 생각하면 불매운동을 해도 모자랄 판에~ 자존심도 없는거죠.",2018-02-21
한국·일본 두 개의 롯데로 갈라설까 | 다음뉴스 http://v.media.daum.net/v/20180221212554252?f=m&rcmd=rn … 롯데는 일본 기업. 대한민국 국민 주머니 털어 일본으로 가져간 쓰레기 기업. 영원히 대한민국에서 퇴출시켜라. 롯데 제품 대국민 불매운동을 펼쳐야 한다.,2018-02-21
"이민... 이민이 답....... 진짜.. 20대 이민율↑ 자살율↑ 이거 딱 답이 안나오나..? 반은 떠나고 그나마 있던 반은 죽고 후... 일본 갔다온 트친왈, 거긴 장난질 하면 산채로 매장당한다고 하더라고요 (영업금지령+불매운동+벌금) 비리/부폐 밝혀져도 잘먹는 나라~ 사실 국민끼리 사는거 빨대꽂힌것",2018-02-20
"펄스타인 이라는 전 타임지 편집장 일본식민지배 이후의 상황을 교묘히 한국에 도움됐다는 논리로 스타벅스 (불매운동을 하게만든 장본인)죠슈아 라모의 발언을 예로들었다. 미국의 권위있는 학자,언론인의 수준이 이정도다. http://v.media.daum.net/v/20180219214057958?rcmd=rn …",2018-02-19
