"구군","종별","의료기관명","소   재   지","일반 병상수","정신 병상수","요양 병상수","개설일자","전화번호"
"중구","의원","김수현의원","울산광역시 중구 명륜로 75 (우정동)","0","0","0","2000-04-20","052-244-1775"
"중구","의원","김춘섭내과의원","울산광역시 중구 태화로 172, 2층 (태화동)","0","0","0","1999-09-27","052-245-3435"
"중구","의원","한국건강관리협회 건강증진의원","울산광역시 중구 학성로 185 (학성동,(1~5층))","0","0","0","1999-06-29","052-241-2000"
"중구","의원","병영정형외과의원","울산광역시 중구 번영로 566, 1,3,4층 (남외동)","0","0","0","1998-12-10","052-293-7575"
"중구","의원","하나가정의학과의원","울산광역시 중구 태화로 126 (태화동)","0","0","0","1998-09-03","052-249-9450"
"중구","의원","김영애의원","울산광역시 중구 함월6길 66 (성안동)","0","0","0","1998-08-25","052-245-7257"
"중구","의원","토마스의원","울산광역시 중구 학성로 122, 2층 (옥교동)","0","0","0","1998-05-29","052-246-3903"
"중구","의원","서울성형외과의원","울산광역시 중구 젊음의2거리 23 (성남동)","0","0","0","1998-03-11","052-244-0222"
"중구","의원","울산연합의원","울산광역시 중구 염포로 19 (남외동)","0","0","0","1998-02-28","052-294-9626"
"중구","의원","최창환내과의원","울산광역시 중구 번영로 580, 5층 (남외동)","0","0","0","1998-01-07","052-292-9240"
"중구","의원","한마음신경외과의원","울산광역시 중구 명륜로 32 (우정동)","29","0","0","1997-11-28","052-243-3119"
"중구","의원","서동가정의학과의원","울산광역시 중구 동천2길 3 (서동)","0","0","0","1997-06-28","052-297-1128"
"중구","의원","닥터리연합내과의원","울산광역시 중구 유곡로 10 (우정동)","0","0","0","1997-06-27","052-245-7812"
"중구","의원","한결연합의원","울산광역시 중구 다운로 110 (다운동)","0","0","0","1997-02-14","052-277-2969"
"중구","의원","새현대의원","울산광역시 중구 반구정4길 64 (반구동)","0","0","0","1996-09-02","052-292-6291"
"중구","의원","이승욱의원","울산광역시 중구 곽남5길 22 (남외동)","0","0","0","1996-05-01","052-296-9790"
"중구","의원","동산가정의학과의원","울산광역시 중구 평동길 1 (유곡동)","0","0","0","1996-03-18","052-246-9291"
"중구","의원","이긍용의원","울산광역시 중구 복산1동길 3 (복산동)","0","0","0","1995-03-09","052-246-2223"
"중구","의원","메리놀의원","울산광역시 중구 동천6길 8 (서동)","0","0","0","1994-12-10","052-296-7554"
"중구","의원","장안과의원","울산광역시 중구 학성로 116, 2층 (옥교동)","0","0","0","1994-09-17","052-243-5205"
"중구","의원","이강희내과의원","울산광역시 중구 학성로 125, 1~2층 (옥교동)","0","0","0","1994-08-04","052-244-9421"
"중구","의원","박성원외과의원","울산광역시 중구 번영로 580, 201호 (남외동)","0","0","0","1993-05-07","052-296-1053"
"중구","의원","김종진내과의원","울산광역시 중구 번영로 577, 2층 (남외동)","0","0","0","1992-09-07","052-296-2326"
"중구","의원","권이비인후과의원","울산광역시 중구 번영로 580, 402호 (남외동, sky M빌딩)","0","0","0","1992-07-09","052-298-7575"
"중구","의원","정승기산부인과의원","울산광역시 중구 학성로 124 (옥교동)","0","0","0","1991-01-22","052-246-4680"
"중구","의원","황두환내과의원","울산광역시 중구 화합로 358 (반구동)","0","0","0","1990-11-24","052-294-4890"
"중구","의원","이대원안과의원","울산광역시 중구 학성로 95-1 (성남동)","0","0","0","1990-10-05","052-211-2357"
"중구","의원","한양정신과의원","울산광역시 중구 새즈믄해거리 6 (성남동)","0","0","0","1987-03-07","052-244-9649"
"중구","의원","이화산부인과의원","울산광역시 중구 문화의거리 17 (성남동)","0","0","0","1986-12-02","052-243-6035"
"중구","의원","전재기이비인후과의원","울산광역시 중구 학성로 94-1 (성남동)","0","0","0","1984-03-13","052-243-6727"
"중구","의원","경상비뇨기과의원","울산광역시 중구 학성로 92 (성남동)","0","0","0","1983-03-07","052-245-7473"
"중구","의원","강내과의원","울산광역시 중구 학성로 62-1 (성남동)","0","0","0","1983-02-08","052-244-1110"
"중구","의원","이상호이비인후과의원","울산광역시 중구 학성로 99, 3층 (옥교동)","0","0","0","1982-04-30","052-211-0017"
"중구","의원","박동건신경정신과의원","울산광역시 중구 중앙길 69 (성남동)","0","0","0","1982-03-31","052-243-9712"
"중구","의원","울산결핵과의원","울산광역시 중구 화진길 26 (태화동)","0","0","0","1975-07-26","052-211-3490"
"중구","의원","조이비인후과의원","울산광역시 중구 학성로 117 (옥교동)","0","0","0","1975-07-02","052-244-5918"
"중구","치과의원","유디울산우정치과의원","울산광역시 중구 종가로 310, 8층 (우정동, M타워 8층 807~8014호)","0","0","0","2017-10-23","052-911-2888"
"중구","치과의원","서울정다운치과의원","울산광역시 중구 다운로 35-1, 1~2층 (다운동)","0","0","0","2017-08-21","052-708-2828"
"중구","치과의원","센트럴울산치과의원","울산광역시 중구 젊음의2거리 29, 5층 (성남동, 훼미리타워)","0","0","0","2017-03-28","052-244-2877"
"중구","치과의원","해와달치과교정과치과의원","울산광역시 중구 번영로 580, 7층 702호 (남외동, SkyM빌딩)","0","0","0","2017-01-10","052-286-0028"
"중구","치과의원","정미정치과의원","울산광역시 중구 번영로 461 (복산동)","0","0","0","2016-10-20","052-267-2828"
"중구","치과의원","연세고마운치과의원","울산광역시 중구 곽남5길 22 (남외동)","0","0","0","2016-02-15","052-297-7528"
"중구","치과의원","반구편한치과의원","울산광역시 중구 반구로 46, 2층 (반구동)","0","0","0","2015-07-17","052-281-2090"
"중구","치과의원","참잘하는치과의원","울산광역시 중구 번영로 485, 4층 (약사동)","0","0","0","2015-07-13","052-710-5528"
"중구","치과의원","세민치과의원","울산광역시 중구 학성로 180, 2층 (학성동)","0","0","0","2014-12-30","052-286-2875"
"중구","치과의원","상쾌한 치과의원","울산광역시 중구 번영로 470, 5층 (반구동)","0","0","0","2014-11-20","052-291-1152"
"중구","치과의원","미소진치과의원","울산광역시 중구 종가로 747, 3층 (장현동)","0","0","0","2014-10-30","052-293-2275"
"중구","치과의원","유어스치과의원","울산광역시 중구 명륜로 41, 3층 (태화동)","0","0","0","2013-03-20","052-298-2080"
"중구","치과의원","베스트치과의원","울산광역시 중구 태화로 174, 2층 (태화동)","0","0","0","2012-09-06","052-211-2879"
"중구","치과의원","서울S치과의원","울산광역시 중구 번영로 568, 2층 (남외동)","0","0","0","2012-06-18","052-700-2275"
"중구","치과의원","허브치과의원","울산광역시 중구 번영로 590, 3층 (남외동)","0","0","0","2012-06-08","052-281-2804"
"중구","치과의원","우정치과의원","울산광역시 중구 명륜로 17, 5층 (태화동)","0","0","0","2009-11-04","052-246-2898"
"중구","치과의원","정상모치과의원","울산광역시 중구 다운로 118, 2층 (다운동)","0","0","0","2009-09-21","052-222-7738"
"중구","치과의원","백석치과의원","울산광역시 중구 태화로 213, 2층 (태화동)","0","0","0","2009-08-27","052-245-0900"
"중구","치과의원","안울진치과의원","울산광역시 중구 번영로 582 (남외동)","0","0","0","2008-10-29","052-233-7144"
"중구","치과의원","희망을심는치과의원","울산광역시 중구 유곡로 11, 3층 (태화동)","0","0","0","2008-10-21","052-212-2879"
"중구","치과의원","해와달연합치과의원","울산광역시 중구 번영로 580, 701층 (남외동, SkyM빌딩)","0","0","0","2008-04-07","052-291-2175"
"중구","치과의원","이레치과의원","울산광역시 중구 화합로 428, 2층 (반구동, 이레빌딩)","0","0","0","2008-02-28","052-298-2875"
"중구","치과의원","태화니즈연합치과의원","울산광역시 중구 화진길 13-2, 201-2,3호 (태화동, 리버스위트상가)","0","0","0","2007-11-30","052-248-2804"
"중구","치과의원","푸른하늘치과의원","울산광역시 중구 번영로 576, 5층 (남외동)","0","0","0","2007-06-08","052-281-6633"
"중구","치과의원","니즈연합치과의원","울산광역시 중구 번영로 574, 4층 (남외동, 동천빌딩)","0","0","0","2007-05-25","052-291-2275"
"중구","치과의원","미플러스치과의원","울산광역시 중구 태화로 184, 2층 (태화동)","0","0","0","2006-07-18","052-245-7008"
"중구","치과의원","뿌리깊은치과의원","울산광역시 중구 번영로 487 (약사동)","0","0","0","2006-06-20","052-282-7528"
"중구","치과의원","성심치과의원","울산광역시 중구 염포로 19 (남외동)","0","0","0","2006-01-31","052-294-2288"
"중구","치과의원","채윤필치과의원","울산광역시 중구 화합로 358 (반구동)","0","0","0","2005-04-27","052-293-7528"
"중구","치과의원","내 치과의원","울산광역시 중구 명륜로 30 (우정동)","0","0","0","2005-03-28","052-244-2879"
"중구","치과의원","사랑가치과의원","울산광역시 중구 화합로 412 (반구동)","0","0","0","2005-03-05","052-282-2875"
"중구","치과의원","산정치과의원","울산광역시 중구 백양로 26 (성안동)","0","0","0","2004-09-09","052-211-2412"
"중구","치과의원","트리플치과의원","울산광역시 중구 성안로 148, 2층 (성안동)","0","0","0","2003-06-16","052-242-2828"
"중구","치과의원","플러스치과의원","울산광역시 중구 번영로 475, 4층 (복산동, 홈플러스)","0","0","0","2003-04-25","052-292-2876"
"중구","치과의원","성안치과의원","울산광역시 중구 성안로 192, 3층 (성안동, 대형빌딩)","0","0","0","2002-08-09","052-248-2875"
"중구","치과의원","현대부부치과의원","울산광역시 중구 태화로 190 (태화동)","0","0","0","2002-07-31","052-243-7045"
"중구","치과의원","한국건강관리협회 건강증진치과의원","울산광역시 중구 학성로 185, 2층 (학성동, 한국건강관리협회 울산지부)","0","0","0","2002-06-27","052-241-2000"
"중구","치과의원","이사랑치과의원","울산광역시 중구 북부순환도로 885, 2층 (서동)","0","0","0","2001-05-14","052-294-5718"
"중구","치과의원","이수현치과의원","울산광역시 중구 시계탑거리 13 (옥교동)","0","0","0","2000-09-16","052-245-2802"
"중구","치과의원","선경치과의원","울산광역시 중구 유곡로 10, 3층 302~304호 (우정동, 선경2차아파트)","0","0","0","1997-08-05","052-244-2878"
"중구","치과의원","노벨치과의원","울산광역시 중구 학성로 115 (옥교동)","0","0","0","1996-11-05","052-243-2875"
"중구","치과의원","연합치과의원","울산광역시 중구 염포로 17 (반구동)","0","0","0","1996-10-24","052-292-8297"
"중구","치과의원","서동치과의원","울산광역시 중구 동천5길 12 (서동)","0","0","0","1996-05-06","052-297-4876"
"중구","치과의원","성원치과의원","울산광역시 중구 번영로 571 (남외동)","0","0","0","1995-12-08","052-293-1510"
"중구","치과의원","한치과의원","울산광역시 중구 곽남6길 25 (남외동)","0","0","0","1995-08-30","052-296-1266"
"중구","치과의원","전영호치과의원","울산광역시 중구 학성로 155 (학산동)","0","0","0","1995-05-09","052-244-1223"
"중구","치과의원","김종헌치과의원","울산광역시 중구 명륜로 75 (우정동)","0","0","0","1995-05-03","052-246-1561"
"중구","치과의원","울산치과의원","울산광역시 중구 번영로 337 (옥교동)","0","0","0","1995-04-29","052-244-0964"
"중구","치과의원","학성연세치과의원","울산광역시 중구 번영로 453, 5층 (복산동)","0","0","0","1993-10-28","052-294-3566"
"중구","치과의원","성남치과의원","울산광역시 중구 중앙길 62 (성남동)","0","0","0","1993-07-14","052-245-7575"
"중구","치과의원","이채택치과의원","울산광역시 중구 다운로 43 (다운동)","0","0","0","1993-04-24","052-224-0951"
"중구","치과의원","시민치과의원","울산광역시 중구 시계탑거리 10 (성남동)","0","0","0","1993-03-02","052-211-1347"
"중구","치과의원","서민호치과의원","울산광역시 중구 번영로 573 (남외동)","0","0","0","1993-01-04","052-281-2828"
"중구","치과의원","보광치과의원","울산광역시 중구 번영로 566 (남외동)","0","0","0","1992-04-11","052-281-3700"
"중구","치과의원","하얀이치과의원","울산광역시 중구 번영로 577 (남외동)","0","0","0","1991-05-06","052-298-2878"
"중구","치과의원","중앙치과의원","울산광역시 중구 학성로 119 (옥교동)","0","0","0","1991-04-26","052-242-2875"
"중구","치과의원","진철호치과의원","울산광역시 중구 북부순환도로 680, 5동 201호 (복산동, 새운파래스상가)","0","0","0","1990-09-11","052-292-8835"
"중구","치과의원","e세움치과의원","울산광역시 중구 유곡로 29, 3층 (태화동)","0","0","0","1990-09-11","052-246-0432"
"중구","치과의원","태화치과의원","울산광역시 중구 명륜로 42, 2층 (우정동)","0","0","0","1990-06-21","052-211-2875"
"중구","치과의원","박현식치과의원","울산광역시 중구 번영로 476 (반구동)","0","0","0","1990-05-01","052-296-4420"
"중구","치과의원","양문섭치과의원","울산광역시 중구 학성로 99 (옥교동)","0","0","0","1990-04-20","052-245-2822"
"중구","치과의원","병영김치과의원","울산광역시 중구 번영로 567, 2층 (남외동)","0","0","0","1989-09-30","052-294-2875"
"중구","치과의원","이세치과의원","울산광역시 중구 번영로 462 (복산동)","0","0","0","1988-04-29","052-293-1661"
"중구","치과의원","남치과의원","울산광역시 중구 번영로 569 (남외동)","0","0","0","1987-04-24","052-294-0808"
"중구","치과의원","신용완치과의원","울산광역시 중구 학성로 127 (학산동)","0","0","0","1986-04-24","052-246-3959"
"중구","치과의원","김정열치과의원","울산광역시 중구 학성로 95, 2층 (성남동)","0","0","0","1983-05-04","052-243-0481"
"중구","치과의원","인재치과의원","울산광역시 새즈믄해거리 3","0","0","0","1982-12-01","052-243-5088"
"중구","치과의원","유재석치과의원","울산광역시 중구 학성로 107-1, 2층 (옥교동)","0","0","0","1978-12-22","052-242-3315"
"중구","한의원","김세준한의원","울산광역시 중구 내황12길 3, 1층 (반구동)","0","0","0","2018-06-08","052-291-2052"
"중구","한의원","강산한의원","울산광역시 중구 번영로 580, SkyM빌딩 3층 303호 (남외동)","0","0","0","2018-04-16","052-281-5675"
"중구","한의원","김영숙한의원","울산광역시 중구 염포로 17, 1층 (반구동)","0","0","0","2018-01-10","052-289-5335"
"중구","한의원","약손한의원","울산광역시 중구 평동길 1 (유곡동)","0","0","0","2017-01-04","052-282-8575"
"중구","한의원","영천한의원","울산광역시 중구 다운로 122, 2층 (다운동)","0","0","0","2015-08-24","052-224-0800"
"중구","한의원","기쁨한의원","울산광역시 중구 구역전길 24-5 (학성동)","0","0","0","2014-04-29","052-291-0725"
"중구","한의원","공덕한의원","울산광역시 중구 성안로 188 (성안동)","0","0","0","2014-02-20","052-242-2244"
"중구","한의원","나팔꽃한의원","울산광역시 중구 번영로 566, 2층 (남외동)","0","0","0","2013-07-11","052-291-1034"
"중구","한의원","서왕우한의원","울산광역시 중구 병영로 5 (남외동)","0","0","0","2013-05-16","052-291-0084"
"중구","한의원","동국한의원","울산광역시 중구 내황길 21-7, 1층 (반구동)","0","0","0","2013-03-04","052-274-3175"
"중구","한의원","최동훈한의원","울산광역시 중구 번영로 563, 2층 (남외동)","0","0","0","2012-02-06","052-291-5700"
"중구","한의원","명인광보한의원","울산광역시 중구 중앙길 21 (우정동)","0","0","0","2010-10-27","052-243-4509"
"중구","한의원","영제한의원","울산광역시 중구 화진길 13-2, 2층 (태화동, 리버스위트상가)","0","0","0","2010-06-23","052-245-7510"
"중구","한의원","심한의원","울산광역시 중구 번영로 585, 2층 (남외동)","0","0","0","2010-03-31","052-282-1075"
"중구","한의원","좋은한의원","울산광역시 중구 유곡로 16, 109호 (우정동)","0","0","0","2009-11-16","052-261-6795"
"중구","한의원","동우한의원","울산광역시 중구 유곡로 29, 2층 (태화동)","0","0","0","2009-06-18","052-242-1075"
"중구","한의원","기맥한의원","울산광역시 중구 화합로 428 (반구동)","0","0","0","2008-06-11","052-281-2501"
"중구","한의원","해오름한의원","울산광역시 중구 동천2길 21 (서동)","0","0","0","2008-01-03","052-286-1079"
"중구","한의원","정성한의원","울산광역시 중구 태화로 182 (태화동)","0","0","0","2006-09-27","052-246-3075"
"중구","한의원","진한의원","울산광역시 중구 곽남길 3, 2층 (약사동)","0","0","0","2006-07-31","052-291-1275"
"중구","한의원","연재한의원","울산광역시 중구 번영로 487, 2층 F호 (약사동, 대호빌딩)","0","0","0","2006-01-27","052-292-1079"
"중구","한의원","우리들한의원","울산광역시 중구 번영로 355, 2층 (학산동)","0","0","0","2005-10-10","052-244-1275"
"중구","한의원","성안한의원","울산광역시 중구 백양로 26 (성안동)","0","0","0","2005-04-29","052-246-4245"
"중구","한의원","이현우 한의원","울산광역시 중구 염포로 12 (반구동)","0","0","0","2002-04-12","052-293-2120"
"중구","한의원","가람 한의원","울산광역시 중구 곽남6길 34 (남외동)","0","0","0","2002-02-22","052-293-1075"
"중구","한의원","병영한의원","울산광역시 중구 곽남길 7 (약사동)","0","0","0","2001-11-06","052-296-8118"
"중구","한의원","명제 한의원","울산광역시 중구 명륜로 75 (우정동)","0","0","0","2001-10-04","052-243-0333"
"중구","한의원","윤형중한의원","울산광역시 중구 번영로 582, 2층 (남외동)","0","0","0","2000-05-15","052-294-6956"
"중구","한의원","현대한의원","울산광역시 중구 난곡로 8, 1층 (태화동)","0","0","0","1999-09-02","052-249-7146"
"중구","한의원","명 한의원","울산광역시 중구 화합로 407, 1층 (반구동)","0","0","0","1999-01-02","052-293-2288"
"중구","한의원","고당한의원","울산광역시 중구 유곡로 15, 1층 (태화동)","0","0","0","1997-08-28","052-245-0960"
"중구","한의원","봉천 한의원","울산광역시 중구 옥교6길 2 (옥교동)","0","0","0","1994-04-02","052-244-0611"
"중구","한의원","대광 한의원","울산광역시 중구 태화로 177 (태화동)","0","0","0","1993-04-27","052-245-8245"
